name,num
卷,45049
在,6450
不,5349
与,5321
有,5272
月,5167
人,4585
去,4488
上,4137
为,4046
和,3997
无,3942
还,3929
谁,3840
我,3736
是,3728
中,3392
归,3388
将,3291
送,3264
见,3249
来,3229
寄,3071
日,2955
多,2789
欲,2785
亦,2747
白居易,2735
更,2724
得,2701
已,2440
时,2421
馀,2409
年,2391
向,2367
下,2267
又,2166
尽,2155
之,2143
道,2142
诗,2035
一,1911
从,1890
新,1856
却,1806
春,1786
到,1786
如,1706
看,1704
何处,1647
好,1617
远,1588
未,1580
皆,1573
事,1536
过,1528
后,1471
出,1453
对,1404
一作,1381
不知,1380
兮,1362
自,1342
长,1327
老,1324
吾,1319
起,1306
里,1302
深,1301
万里,1296
听,1292
曾,1285
酒,1283
愁,1256
赠,1248
坐,1245
飞,1238
钱,1236
心,1236
同,1225
望,1217
开,1208
岂,1200
高,1197
才,1193
空,1192
杜甫,1188
别,1183
路,1178
行,1172
能,1171
花,1155
地,1152
今日,1152
客,1150
回,1147
清,1144
云,1136
若,1134
春风,1131
二首,1128
处,1117
白云,1088
水,1083
题,1078
相,1064
千里,1053
雨,1049
暮,1046
前,1042
秋,1039
入,1036
醉,1034
都,1028
问,1023
奉,1021
风,1018
寺,1016
山,1014
生,1010
作,1006
且,1005
歌,997
至,993
不可,988
李,986
李白,964
难,957
梦,956
初,941
他,936
赴,929
长安,926
满,921
游,920
此,920
便,918
不见,915
说,910
寒,908
笑,905
君,904
制作,898
建文,894
岁,891
使,887
故人,886
即,880
人间,864
落,858
书,858
雪,856
无人,850
吹,847
恨,847
郡,845
闻,843
应,840
闲,837
犹,834
知,831
被,821
久,819
不得,818
明月,815
咏,814
齐己,814
白,811
刘禹锡,800
共,799
天,799
只,798
今,797
惆怅,783
斜,778
辞,775
似,775
但,773
惊,771
旧,771
使君,760
红,759
也,757
门,757
鸟,748
声,746
间,746
兼,742
夜,741
秋风,740
罢,738
悠悠,735
死,731
树,730
垂,722
寻,718
相思,718
非,716
晚,713
于,711
外,709
曲,706
隔,697
棹,688
如何,688
迟,686
韩,685
重,685
香,683
可,680
随,673
待,673
连,667
绿,664
嗟,663
青山,661
逢,660
忆,658
碧,656
朝,654
所,651
白日,651
近,651
并,650
遂,649
正,647
倚,646
把,644
何人,641
霜,640
僧,636
忽,635
言,632
吟,631
皎然,631
相逢,629
宿,628
草,627
江南,625
烟,622
三,617
乐章,614
少年,611
句,604
身,602
稀,601
仍,598
当,597
意,597
酬,597
分,596
孟郊,596
轻,595
元稹,595
寂寞,594
虽,593
何,592
阙,592
韩愈,590
早,589
杂,588
就,587
期,580
陆龟蒙,580
住,578
悲,576
蜀,576
平生,573
柳,572
司空,572
妾,572
黄金,571
少,567
张,566
韦应物,566
竹,566
李商隐,565
山中,565
登,564
家,563
莫,561
既,560
崔,559
何事,559
主人,558
贯休,557
曲歌辞,554
刘长卿,546
春日,545
成,544
两,544
暖,543
因,543
独,542
明,536
可怜,536
须,536
郎中,535
天子,534
金,533
思,533
发,532
尘,532
色,528
流,528
阴,526
回首,526
哭,525
弦,522
饮,521
疏,518
员外,518
沈,516
将军,516
呈,516
张籍,510
如此,510
今朝,509
居,509
天地,504
从此,504
小,504
城,500
玉,499
留,497
鸣,497
皇甫,496
洞庭,496
舆,495
西,495
杜牧,495
忘,493
复,493
流水,493
子,492
应制,488
边,487
不能,486
会,485
许浑,485
落日,484
别离,483
乡,480
情,478
此时,478
芳草,478
不如,477
东,477
归来,477
姚合,477
真,476
孤,476
刘,475
白发,475
罗隐,475
传,474
催,474
者,473
夕阳,473
相见,473
没,472
拂,472
日月,472
日暮,472
泪,470
亭,469
